survived	fare	residence	class_level	age
0	7.2292	2	3	17
0	7.2292	2	3	15
0	7.25	1	3	47
1	12.475	0	3	5
0	7.225	2	3	NA
0	13	2	2	21
1	227.525	2	1	38
1	78.2667	0	1	54
0	31.6792	0	1	36
0	15.1	1	3	40.5
0	13	2	2	18
0	7.75	2	3	40.5
0	221.7792	2	1	NA
0	26	1	2	40
1	26	2	2	29
0	10.5	1	2	18
1	7.05	2	3	NA
0	7.7958	2	3	18
1	31.6833	0	1	NA
0	7.75	2	3	NA
1	110.8833	2	1	NA
0	7.75	2	3	NA
0	6.95	2	3	NA
1	26.3875	0	1	36
0	7.8792	0	3	26
0	7.75	2	3	NA
1	56.4958	2	3	NA
0	34.375	1	3	21
0	34.375	1	3	9
0	8.05	1	3	NA
0	34.375	1	3	18
0	34.375	1	3	16
0	34.375	1	3	48
0	27.75	0	1	30
1	263	2	1	24
1	263	2	1	28
1	263	2	1	23
0	263	2	1	19
0	263	2	1	64
1	263	2	1	60
0	7.75	2	3	NA
0	13	0	2	36
1	56.9292	1	1	30
0	7.25	1	3	NA
0	26.55	1	1	NA
1	133.65	0	1	50
1	27.7208	0	1	43
1	133.65	0	1	NA
1	79.2	2	1	60
1	79.2	2	1	48
1	49.5	2	1	22
0	0	2	2	NA
0	0	1	1	NA
0	13	2	2	38
0	53.1	1	1	37
1	53.1	1	1	35
0	26	1	2	35
0	21	1	2	38
0	21	1	2	34
0	7.7417	2	3	25
0	14.5	1	3	NA
1	13	2	2	34
0	26	1	2	16
0	10.5	2	2	26
0	38.5	1	1	47
1	211.5	2	1	35
0	7.8958	2	3	NA
1	59.4	0	1	22
1	59.4	0	1	45
0	79.2	2	1	24
0	10.5	1	2	47
0	11.5	1	2	21
0	11.5	1	2	21
0	13.5	1	2	24
0	8.05	2	3	22
0	13	1	2	24
0	13	2	2	34
1	7.7333	2	3	16
0	13	2	2	30
1	7.75	2	3	NA
1	89.1042	0	1	49
1	89.1042	2	1	NA
0	34.6542	0	1	71
1	20.525	1	3	9
0	20.525	1	3	33
0	7.85	2	3	41
1	20.525	1	3	31
0	7.05	2	3	38
0	46.9	1	3	9
0	46.9	1	3	1
0	46.9	1	3	11
0	46.9	1	3	10
0	46.9	1	3	16
0	46.9	1	3	14
0	46.9	1	3	40
0	46.9	1	3	43
1	28.5	0	1	53
1	30	1	1	19
0	153.4625	2	1	38
1	153.4625	1	1	58
0	8.05	2	3	51
0	13	2	2	52
1	63.3583	0	1	23
1	63.3583	0	1	45
0	8.3625	2	3	32
0	8.05	1	3	NA
0	79.2	2	1	46
0	9.8458	2	3	20
0	7.925	2	3	37
0	7.925	2	3	28
0	7.775	2	3	19
0	8.85	2	3	24
0	7.7333	2	3	17
0	19.9667	2	3	NA
0	19.9667	2	3	NA
0	15.85	2	3	28
1	15.85	2	3	24
0	13	0	2	30
1	14.5	0	2	0.6667
1	14.5	0	2	24
0	9.5	2	3	20
0	7.2292	2	3	23.5
0	14.1083	0	3	41
0	7.8542	2	3	26
0	7.8542	2	3	21
1	14.1083	0	3	45
0	13	0	2	44
1	55.4417	0	1	25
1	55.4417	0	1	25
0	7.55	1	3	NA
0	7.25	2	3	25
1	33	1	2	6
1	76.7292	0	1	48
1	76.7292	0	1	49
0	33	1	2	28
0	42.4	2	1	NA
1	10.5	1	2	62
0	83.475	0	1	45
0	10.5	1	2	30
1	83.475	0	1	35
0	0	1	1	40
1	26.25	1	2	7
0	26.25	1	2	43
0	6.8583	2	3	NA
1	26.25	1	2	45
1	76.7292	2	1	27
0	18.7875	2	3	11
1	30	2	1	NA
1	83.1583	0	1	24
0	93.5	2	1	55
1	93.5	2	1	52
0	42.5	2	1	42
1	7.75	2	3	NA
1	6.975	2	3	27
1	56.4958	2	3	NA
0	6.75	2	3	18
1	7.925	2	3	26
0	7.925	2	3	23
1	8.9625	2	3	22
0	7.8958	2	3	28
0	7.775	2	3	28
0	7.75	2	3	NA
1	65	2	2	24
1	65	2	2	24
0	65	1	2	49
1	65	2	2	48
1	16	2	2	55
0	73.5	1	2	24
0	73.5	1	2	32
0	73.5	1	2	21
0	51.8625	0	1	NA
0	13	2	2	18
0	50	1	1	55
1	57.9792	0	1	16
1	57.9792	0	1	44
1	12.2875	2	3	2
1	12.2875	2	3	22
1	23	1	2	20
0	11.5	1	2	23
0	13	1	2	36
1	23	1	2	54
0	13	1	2	50
1	77.9583	0	1	51
0	26	1	2	44
1	26	1	2	29
0	6.45	2	3	43
0	22.525	2	3	28
0	52	0	1	42
1	52	0	1	35
1	26.55	0	1	35
1	7.925	2	3	27
0	73.5	1	2	21
0	7.75	2	3	NA
1	13	2	2	42
1	8.05	1	3	NA
0	26	1	2	63
0	26	1	2	60
1	90	0	1	38
0	30.6958	0	1	NA
1	90	0	1	35
0	7.65	2	3	42
0	12.275	1	2	33
1	7.8875	1	3	NA
0	7.2292	2	3	30
1	80	2	1	38
1	10.5	2	2	17
0	7.8958	2	3	NA
0	7.925	0	3	27
0	7.925	2	3	25
0	28.7125	0	1	50
1	0	1	1	49
0	7.8958	2	3	NA
0	27	1	2	42
1	27	1	2	24
1	7.8958	2	3	29
1	7.7958	2	3	21
0	7.05	2	3	NA
0	15	1	2	47
0	31.5	2	2	24
0	31.5	2	2	22
0	10.5	1	2	32
0	7.8542	2	3	20
0	7.8542	0	3	48
0	7.0542	2	3	17
1	7.75	2	3	NA
1	13.7917	0	2	23
1	8.1125	2	3	NA
0	6.4958	2	3	34
1	7.775	2	3	26
0	7.7958	2	3	22
0	8.6542	2	3	33
0	7.775	0	3	31
0	7.8542	0	3	29
1	11.1333	2	3	4
1	11.1333	2	3	1
0	0	2	3	49
0	7.775	0	3	33
0	0	0	3	19
1	11.1333	2	3	27
0	23.45	1	3	NA
0	23.45	1	3	NA
0	23.45	1	3	NA
0	23.45	1	3	NA
0	26	0	1	46
0	7.8958	2	3	23
1	7.8542	2	3	32
0	7.8542	2	3	27
0	26	1	1	50
0	9.825	2	3	20
0	9.825	2	3	21
1	7.925	2	3	32
0	7.125	2	3	17
0	8.4333	2	3	21
0	26	2	2	34
1	26	2	2	24
0	7.8958	2	3	30
1	7.7958	2	3	21
0	7.8542	2	3	33
0	7.5208	2	3	22
0	21	0	2	22
1	13.4167	2	3	4
1	13.4167	0	3	39
0	7.2292	2	3	NA
0	7.2292	2	3	18.5
1	12.35	0	2	NA
0	7.75	2	3	NA
0	12.35	2	2	35
0	7.25	0	3	NA
0	211.5	2	1	32.5
1	7.75	2	3	NA
1	7.75	2	3	NA
0	8.05	2	3	44
0	7.8292	1	3	34.5
1	13.5	1	2	45
1	7.75	2	3	NA
0	29.7	0	1	58
0	51.8625	0	1	41
1	51.8625	2	1	NA
0	14.4542	2	3	NA
0	14.4542	2	3	NA
0	7.75	0	3	NA
0	7.75	2	3	NA
0	7.7375	2	3	NA
1	52.5542	0	1	42
1	52.5542	0	1	45
1	22.025	2	3	4
1	22.025	2	3	29
1	22.025	2	3	26
0	8.6625	2	3	22
0	8.6625	2	3	26
0	12.35	0	2	57
0	26.55	0	1	NA
0	12.1833	2	3	1
0	7.8542	2	3	18
0	12.1833	2	3	36
0	0	2	2	NA
0	7.8958	2	3	NA
1	7.2292	2	3	25
1	211.3375	2	1	39
0	10.5	2	2	31
0	7.225	2	3	NA
0	26	0	2	26
0	26	0	2	30
0	9.5875	2	3	37
0	7.8958	2	3	NA
1	56.4958	2	3	NA
0	56.4958	2	3	NA
0	10.7083	2	2	NA
1	7.25	2	3	22
0	7.75	2	3	NA
1	56.4958	2	3	26
1	41.5792	2	2	1
1	41.5792	2	2	3
0	41.5792	2	2	25
1	41.5792	2	2	22
0	7.775	2	3	22
0	9.4833	0	3	29
0	7.775	2	3	29
1	25.9292	0	1	49
1	7.225	2	3	22
0	25.4667	2	3	NA
0	25.4667	2	3	NA
0	25.4667	2	3	NA
0	25.4667	2	3	NA
0	25.4667	2	3	NA
1	12	2	2	17
0	7.925	2	3	32
1	33	1	2	NA
0	6.4375	2	3	34.5
1	10.5	0	2	34
0	15.5	2	3	NA
0	15.5	2	3	NA
0	0	2	3	36
1	106.425	2	1	30
0	24.15	1	3	39
1	512.3292	2	1	35
0	12.875	2	2	36
0	27.7208	0	1	NA
0	10.5	1	2	24
0	9.5	2	3	24
0	7.775	2	3	25
0	7.75	2	3	45
0	26.55	2	1	42
0	15.55	2	3	36
0	15.55	2	3	30
1	7.925	2	3	20
1	27.7208	2	1	55
0	7.8792	2	3	NA
1	39.4	2	1	16
1	39.4	2	1	51
0	56.4958	2	3	28
0	12.35	2	2	61
0	7.55	2	3	NA
0	16.1	1	3	30
0	16.1	1	3	26
0	7.8792	1	3	NA
0	30	0	1	29
1	77.9583	0	1	21
0	45.5	0	1	30
0	26	1	2	50
1	26	1	2	42
0	7.25	1	3	20.5
1	8.6625	2	3	27
0	7.0542	2	3	51
1	7.8542	0	3	23
1	7.5792	2	3	32
1	146.5208	2	1	58
0	7.8958	2	3	NA
0	10.5	1	2	57
0	7.55	1	3	NA
1	7.75	2	3	NA
1	211.3375	0	1	15
1	7.1417	2	3	24
0	7.125	2	3	22
0	26	0	1	30
0	7.8792	2	3	NA
0	7.75	2	3	NA
1	86.5	1	1	16
0	8.05	1	3	NA
0	7.925	2	3	29
0	15.0458	2	2	NA
1	37.0042	2	2	1
0	37.0042	2	2	31
1	37.0042	2	2	24
1	7.2292	2	3	NA
0	7.75	2	3	30.5
0	15.5792	0	2	NA
1	7.7375	2	3	NA
0	7.2292	2	3	NA
1	29.7	2	1	NA
0	7.8958	2	3	35
0	7.8958	2	3	33
0	53.1	0	1	19
1	53.1	0	1	18
1	7.225	2	3	NA
0	7.8958	2	3	NA
0	13	1	2	30
0	16	1	2	40
1	49.5042	2	1	24
0	75.2417	2	1	46
1	7.75	2	3	NA
0	51.8625	0	1	54
1	7.75	0	3	NA
1	23.25	2	3	NA
1	23.25	2	3	NA
1	23.25	2	3	NA
0	13.5	2	2	32
0	13	2	2	30
1	7.7875	2	3	NA
0	15.5	2	3	NA
1	26.2875	0	1	36
1	7.8792	2	3	NA
1	8.0292	2	3	15
0	7.75	2	3	35
0	26	2	2	46
0	7.75	2	3	NA
0	16.1	1	3	24
0	16.1	1	3	19
0	7.75	2	3	NA
0	8.05	1	3	NA
0	8.05	2	3	NA
1	19.5	1	2	13
1	19.5	1	2	41
1	10.5	1	2	19
0	8.05	1	3	55.5
0	7.75	2	3	NA
0	13	1	2	39
0	82.1708	0	1	28
1	82.1708	0	1	NA
1	7.775	2	3	21
0	8.05	1	3	NA
0	26.55	0	1	65
0	13	2	2	48
0	90	0	1	44
1	90	0	1	33
1	90	0	1	37
0	7.8958	2	3	24
0	7.8958	2	3	21
0	7.8958	2	3	28
0	10.5	2	2	70
0	7.8958	2	3	NA
1	57.75	0	1	30
1	7.8792	2	3	NA
0	7.65	2	3	25
0	30.5	2	1	55
0	13	1	2	27
1	12.475	2	3	6
1	12.475	2	3	27
0	42.4	0	1	47
0	8.05	0	3	NA
1	24.15	2	3	NA
0	24.15	2	3	NA
0	8.4583	2	3	NA
0	14	0	2	54
0	26	1	2	39
0	8.05	1	3	34
0	7.75	2	3	NA
1	7.775	2	3	NA
1	15.2458	2	3	NA
1	15.2458	2	3	NA
1	15.2458	2	3	NA
1	7.2292	2	3	NA
0	8.05	1	3	NA
0	10.5	1	2	16
1	7.7333	2	3	NA
1	7.75	2	3	24
0	8.05	1	3	NA
1	15.5	2	3	NA
1	15.5	2	3	NA
1	15.5	2	3	NA
0	7.75	2	3	18
0	9.6875	2	2	62
0	7.8958	2	3	22
1	7.225	2	3	15
1	15.7417	2	3	1
1	15.7417	2	3	20
1	15.7417	2	3	19
0	8.05	1	3	33
0	7.8958	2	3	NA
0	7.2292	2	3	NA
0	30.0708	0	2	32.5
1	30.0708	2	2	14
0	29.7	0	1	37
0	7.75	0	3	NA
1	26	2	2	2
1	26	2	2	3
0	26	2	2	36.5
0	7.8958	2	3	NA
0	13	1	2	26
1	113.275	0	1	31
1	113.275	0	1	23
0	113.275	0	1	58
1	26.2833	0	1	19
0	36.75	1	2	19
0	26	1	1	64
1	11.2417	2	3	12
1	11.2417	2	3	14
0	7.925	2	3	29
0	8.05	2	3	28
1	7.775	2	3	18
1	7.8542	2	3	26
0	7.8542	2	3	21
0	7.125	2	3	41
1	7.925	0	3	39
0	13.5	1	2	28
0	7.8	1	3	21
1	13.8625	2	2	20
0	7.2292	2	3	28.5
1	10.5	0	2	29
1	7.75	2	3	22
0	6.2375	2	3	61
0	15.5	2	3	NA
0	7.8292	2	3	NA
1	15.5	2	3	NA
0	7.7333	2	3	NA
0	7.75	2	3	NA
0	7.75	2	3	NA
0	7.75	2	3	NA
1	7.75	2	3	NA
1	7.8792	2	3	NA
1	7.75	2	3	NA
1	7.8292	2	3	NA
0	7.6292	2	3	NA
0	9.225	2	3	23
1	7.775	2	3	22
1	108.9	2	1	39
1	3.1708	2	3	9
0	22.525	2	3	28
0	8.4042	0	3	42
0	7.3125	2	3	NA
0	7.8542	2	3	31
0	7.8542	2	3	28
1	7.775	2	3	32
0	9.225	2	3	20
1	25.7417	2	1	NA
0	8.6625	2	3	23
0	8.6625	2	3	20
0	8.6625	2	3	20
0	9.2167	2	3	16
1	8.6833	2	3	31
1	61.9792	2	1	22
0	61.9792	0	1	65
0	13	0	2	39
0	27.7208	2	1	28.5
1	10.5	1	2	22
1	13.8625	2	2	NA
0	10.5	2	2	23
1	13.8583	2	2	29
0	21.075	2	3	2
0	21.075	2	3	6
0	21.075	2	3	3
0	21.075	2	3	8
0	21.075	2	3	29
0	39.6875	2	3	1
0	39.6875	2	3	7
0	39.6875	2	3	2
0	39.6875	2	3	16
0	39.6875	2	3	14
0	39.6875	2	3	41
0	10.5	2	2	28
0	0	2	2	NA
0	0	2	1	NA
1	26	0	2	50
0	28.5	1	1	45.5
0	8.6625	2	3	21
0	14.5	1	3	19
0	8.7125	2	3	NA
0	7.8958	2	3	32
0	93.5	2	1	23
0	13.775	2	3	0.75
0	13.775	2	3	3
0	13.775	2	3	26
0	7	1	3	NA
0	66.6	1	1	29
1	66.6	2	1	22
0	7.775	2	3	NA
0	8.05	1	3	NA
0	7.925	2	3	21
0	7.925	2	3	25
0	108.9	2	1	18
1	108.9	2	1	17
0	10.5	1	2	19
0	7.25	1	3	22
0	15.05	2	2	NA
1	93.5	2	1	30
1	7.775	2	3	25
0	13	2	2	41
1	22.3583	2	3	NA
1	22.3583	2	3	NA
1	22.3583	2	3	NA
0	8.1375	2	3	NA
0	8.05	1	3	24
0	7.8958	2	3	28
0	7.8958	2	3	19
0	7.8958	2	3	NA
0	7.775	2	3	25
0	7.775	2	3	18
1	30.5	2	1	52
1	21	1	2	21
1	26	1	2	19
0	21	1	2	43
1	8.05	1	3	32
1	13	2	2	32
0	7.8958	2	3	NA
0	8.6625	2	3	17
0	8.6625	2	3	24
0	13	1	2	34
1	12.7375	0	2	30
0	52	0	1	47
1	83.1583	0	1	56
0	15.0333	0	2	27
1	26	2	2	2
1	26	2	2	8
1	26	2	2	33
0	7.8958	2	3	NA
0	8.1125	2	3	NA
0	7.2292	2	3	NA
0	7.25	2	3	NA
0	10.5	1	2	36
0	7.8958	2	3	38
0	21	0	2	34
1	21	2	2	30
0	0	2	1	38
1	13	2	2	28
0	8.05	1	3	21
1	39.6	2	1	NA
0	29.125	2	3	10
0	29.125	2	3	4
0	29.125	2	3	7
0	29.125	2	3	2
0	29.125	2	3	8
0	29.125	2	3	39
0	15.0458	2	2	23
1	18.75	1	2	0.8333
1	18.75	1	2	3
1	18.75	1	2	24
1	10.5	1	2	50
0	39.6875	2	3	22
0	135.6333	2	1	22
0	7.125	2	3	35
1	7.7208	2	3	NA
0	14.5	1	3	NA
0	14.5	1	3	NA
0	227.525	2	1	NA
1	211.3375	0	1	43
0	14.5	1	3	50
0	14.5	1	3	47
0	50.4958	0	1	31
0	10.5	1	2	19
0	8.05	2	3	NA
1	26.55	0	1	45
0	7.775	2	3	NA
0	50	0	1	NA
0	20.2125	2	3	2
0	20.2125	2	3	18
0	20.2125	2	3	41
1	27.7208	2	1	33
0	79.2	0	1	46
0	40.125	2	1	36
1	8.05	1	3	NA
1	86.5	1	1	33
0	59.4	0	1	55
1	59.4	0	1	54
0	8.05	1	3	50
0	26.55	2	1	33
1	10.5	2	2	21
0	8.05	1	3	16
1	7.75	2	3	NA
0	24.15	2	3	NA
1	262.375	0	1	13
1	262.375	0	1	18
1	262.375	0	1	21
0	262.375	0	1	61
1	262.375	0	1	48
0	7.2292	2	3	NA
0	7.225	2	3	25
0	7.225	2	3	NA
1	30.5	1	1	NA
0	7.7292	2	3	NA
0	7.575	1	3	NA
0	7.25	2	3	38.5
0	69.55	1	3	NA
0	69.55	2	3	14.5
0	69.55	1	3	NA
0	69.55	1	3	NA
0	69.55	1	3	NA
0	69.55	1	3	NA
0	69.55	2	3	NA
0	69.55	2	3	NA
0	69.55	1	3	NA
0	69.55	2	3	NA
0	69.55	1	3	NA
1	69.3	2	1	24
0	9.325	2	3	24
1	7.65	2	3	21
1	26	0	1	NA
0	7.925	0	3	39
0	21.6792	2	3	NA
0	21.6792	2	3	NA
0	21.6792	2	3	NA
1	16.7	2	3	1
1	16.7	2	3	4
1	16.7	2	3	24
1	9.5	2	3	25
0	8.05	1	3	20
0	8.05	1	3	24.5
0	7.725	2	3	NA
1	57.75	2	1	35
0	13	0	2	26
0	7.8958	2	3	NA
0	13	1	2	25
1	31	2	1	30
1	26.55	0	1	34
0	26	1	2	27
0	7.75	2	3	NA
1	9.5	2	3	29
0	15.1	1	3	NA
1	26	0	2	25
1	7.7792	1	3	NA
0	8.05	1	3	NA
1	153.4625	0	1	40
1	13	2	2	18
1	26.2875	0	1	35
0	55.9	0	1	50
1	55.9	0	1	39
0	8.05	2	3	NA
1	35.5	2	1	56
1	36.75	1	2	20
1	13	0	2	30
0	7.2292	2	3	22
0	8.05	1	3	NA
0	7.8958	2	3	40
0	7.925	0	3	21
1	7.4958	2	3	18
0	13.5	2	2	59
0	27.9	2	3	4
0	27.9	2	3	10
0	27.9	2	3	9
0	27.9	2	3	2
0	27.9	2	3	40
0	27.9	2	3	45
0	7.8958	2	3	NA
1	12.35	2	2	30
0	10.5	1	2	35
0	8.05	1	3	NA
1	35.5	0	1	28
0	26.55	1	1	56
0	8.6625	2	3	NA
1	13	2	2	40
0	30.6958	2	1	56
0	60	0	1	24
0	26	1	1	NA
0	7.75	2	3	NA
1	60	0	1	18
1	7.7333	2	3	NA
1	82.2667	0	1	24
1	82.2667	0	1	23
0	13	1	2	25
0	7.65	2	3	19
0	8.05	1	3	30
0	8.05	1	3	NA
1	134.5	0	1	6
1	134.5	0	1	45
1	134.5	0	1	40
0	146.5208	0	1	57
